1.346,1937,-6,1
1.34,1930,-6,1
1.335,1923,-4,1
1.33,1915,-3,1
1.325,1908,-2,1
1.265,1822,-2,1
1.25,1799,-2,1
1.235,1777,-2,1
1.22,1756,-2,1
1.223,1761,0,1
1.207,1739,-1,1
1.192,1716,-1,1
1.217,1753,-3,1
1.235,1779,-4,1
1.26,1815,-5,1
1.288,1854,-5,1
1.306,1881,-6,1
1.318,1898,-5,1
1.318,1898,-4,1
1.318,1898,-3,1
0.959,1383,-2,0
0.946,1364,-3,0
1.243,1791,-5,0
1.243,1791,-6,0
1.243,1791,-5,0
1.243,1791,-6,0
1.222,1761,-6,0
1.202,1732,-6,0
1.183,1704,-6,0
1.162,1675,-5,0
1.135,1636,-7,0
1.11,1599,-9,0
1.366,1966,-6,1
1.361,1959,-6,1
1.356,1952,-4,1
1.35,1944,-2,1
1.345,1937,-2,1
1.3,1871,-2,1
1.296,1865,-3,1
1.235,1778,-3,1
1.204,1733,-2,1
1.184,1704,0,1
1.168,1681,0,1
1.17,1685,-1,1
1.174,1691,-3,1
1.246,1794,-4,1
1.264,1821,-5,1
1.264,1821,-5,1
1.316,1894,-6,1
1.318,1898,-6,1
1.318,1898,-4,1
0.959,1383,-2,0
0.959,1383,-1,0
0.946,1364,-1,0
1.243,1791,-2,0
1.243,1791,-4,0
1.243,1791,-4,0
1.243,1791,-4,0
1.227,1768,-4,0
1.208,1741,-4,0
1.186,1708,-3,0
1.168,1683,-2,0
1.141,1644,-5,0
1.132,1630,-5,0
1.378,1984,-8,1
1.378,1984,-5,1
1.378,1984,-4,1
1.376,1981,-2,1
1.358,1955,0,1
1.307,1881,0,1
1.266,1822,-3,1
1.26,1814,-3,1
1.255,1806,-1,1
1.165,1677,0,1
1.14,1642,0,1
1.144,1647,-1,1
1.144,1647,-2,1
1.289,1857,-2,1
1.289,1857,-1,1
1.052,1516,-2,1
1.052,1516,-4,1
1.08,1557,-6,1
0.959,1383,-6,0
0.959,1383,-4,0
0.946,1364,-2,0
0.946,1364,-1,0
1.003,1446,0,0
1.003,1446,-1,0
1.243,1791,-1,0
1.243,1791,1,0
0.935,1348,0,0
0.935,1348,-1,0
0.935,1348,0,0
0.935,1348,0,0
0.92,1325,0,0
0.932,1344,1,0
1.408,2027,-5,1
1.375,1980,-5,1
1.371,1974,-5,1
1.359,1956,-3,1
1.342,1931,-1,1
1.325,1907,-2,1
1.291,1858,-3,1
1.286,1850,-3,1
1.28,1843,-2,1
1.11,1599,-1,1
1.114,1605,0,1
1.12,1613,0,1
1.055,1521,-1,1
1.289,1857,0,1
1.031,1486,1,1
1.039,1498,-1,1
1.08,1557,-4,1
1.08,1557,-6,1
0.959,1383,-7,0
0.946,1364,-5,0
0.935,1347,-4,0
0.924,1332,-2,0
1.018,1467,-2,0
1.008,1453,-1,0
0.997,1437,-1,0
0.98,1413,0,0
0.97,1398,0,0
0.927,1336,2,0
0.922,1329,4,0
0.916,1321,4,0
0.915,1318,2,0
0.927,1335,2,0
1.408,2027,-4,1
1.408,2027,-6,1
1.399,2014,-6,1
1.395,2008,-4,1
1.329,1913,-3,1
1.316,1895,-4,1
1.311,1887,-4,1
1.304,1877,-3,1
1.091,1572,-2,0
1.09,1570,-1,1
1.081,1558,-1,1
1.063,1532,-1,1
1.045,1506,-1,1
1.026,1479,-1,1
1.016,1464,0,1
1.019,1468,-1,1
1.061,1529,-3,1
1.062,1531,-6,1
1.09,1570,-6,1
0.927,1336,-5,0
0.915,1320,-3,0
